web-scraper-order,web-scraper-start-url,Judul,Tahun,Durasi,Rating
1718285108-1,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Furiosa: A Mad Max Saga,2024,2h 28m,7.8 (80K)
1718285108-2,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Hit Man,2023,1h 55m,7.0 (31K)
1718285108-3,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Gojira -1.0,2023,2h 4m,7.8 (112K)
1718285108-4,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Bad Boys: Ride or Die,2024,1h 55m,7.0 (14K)
1718285108-5,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Fall Guy,2024,2h 6m,7.0 (96K)
1718285108-6,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Civil War,2024,1h 49m,7.2 (109K)
1718285108-7,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Venom: The Last Dance,2024,1 h 52 m​,7.8 (1.8M)
1718285108-8,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Sous la Seine,2024,1h 44m,5.3 (13K)
1718285108-9,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The First Omen,2024,1h 59m,6.5 (32K)
1718285108-10,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Kingdom of the Planet of the Apes,2024,2h 25m,7.2 (51K)
1718285108-11,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Dune: Part Two,2024,2h 46m,8.6 (445K)
1718285108-12,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,MaXXXine,2024,1h 43m,7.8 (500K)
1718285108-13,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Watchers,2024,1h 42m,5.8 (5K)
1718285108-14,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Atlas,2024,1h 58m,5.6 (39K)
1718285108-15,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Mad Max: Fury Road,2015,2h,8.1 (1.1M)
1718285108-16,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Alien: Romulus,2024,2 h 19m,8.7 (1.8M)
1718285108-17,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Challengers,2024,2h 11m,7.3 (67K)
1718285108-18,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,IF,2024,1h 44m,6.7 (13K)
1718285108-19,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,In a Violent Nature,2024,1h 34m,6.3 (3K)
1718285108-20,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Garfield Movie,2024,1h 41m,5.8 (7.7K)
1718285108-21,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Ministry of Ungentlemanly Warfare,2024,2h,6.9 (42K)
1718285108-22,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Strangers: Chapter 1,2024,1h 31m,4.7 (9.6K)
1718285108-23,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Kolory zla. Czerwien,2024,1h 51m,6.3 (3.8K)
1718285108-24,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Inside Out 2,2024,1h 36m,8.1 (550)
1718285108-25,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Godzilla x Kong: The New Empire,2024,1h 55m,6.2 (72K)
1718285108-26,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Anyone But You,2023,1h 43m,6.1 (92K)
1718285108-27,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Deadpool & Wolverine,2024,2h 7m,9.2 (1.8M)
1718285108-28,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Wolfs,2024,2h 10m,7.8 (800K)
1718285108-29,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Tarot,2024,1h 32m,4.8 (12K)
1718285108-30,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Kinds of Kindness,2024,2h 44m,7.0 (2.2K)
1718285108-31,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Idea of You,2024,1h 55m,6.4 (46K)
1718285108-32,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Horizon: An American Saga - Chapter 1,2024,3h 1m,7.8 (743)
1718285108-33,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Bikeriders,2023,1h 56m,7.5 (1.4K)
1718285108-34,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Die Hart: Die Harter,2024,1h 32m,4.2 (2.9K)
1718285108-35,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Iron Claw,2023,2h 12m,7.6 (73K)
1718285108-36,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Dune,2021,2h 35m,8.0 (877K)
1718285108-37,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Crow,2024,2h 40m,7.5 (1.4K)
1718285108-38,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Madame Web,2024,1h 56m,3.9 (69K)
1718285108-39,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Am I OK?,2022,1h 26m,6.1 (3K)
1718285108-40,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,X,2022,1h 45m,6.5 (177K)
1718285108-41,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Hunger Games: The Ballad of Songbirds & Snakes,2023,2h 37m,6.7 (126K)
1718285108-42,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Boys in the Boat,2023,2h 3m,7.0 (19K)
1718285108-43,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Oppenheimer,2023,3h,8.3 (753K)
1718285108-44,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Abigail,2024,1h 49m,6.6 (43K)
1718285108-45,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Boy Kills World,2023,1h 51m,6.4 (15K)
1718285108-46,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Saving Private Ryan,1998,2h 49m,8.6 (1.5M)
1718285108-47,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Poor Things,2023,2h 21m,7.9 (274K)
1718285108-48,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Late Night with the Devil,2023,1h 33m,7.1 (56K)
1718285108-49,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Mad Max,1979,1h 28m,6.8 (229K)
1718285108-50,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,What You Wish For,2023,1h 41m,6.7 (1.5K)
1718285108-51,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Masuk Keluar,2015,1h 35m,8.1 (792K)
1718285108-52,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Longest Day,1962,2h 58m,7.7 (60K)
1718285108-53,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Sister Act 2: Back in the Habit,1993,1h 47m,5.7 (59K)
1718285108-54,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Road House,2024,2h 1m,6.2 (132K)
1718285108-55,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Love Lies Bleeding,2024,1h 44m,6.7 (26K)
1718285108-56,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Mother of the Bride,2024,1h 28m,4.8 (11K)
1718285108-57,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Mad Max 2,1981,1h 36m,7.6 (199K)
1718285108-58,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Bad Boys for Life,2020,2h 4m,6.5 (178K)
1718285108-59,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Bullet Train,2022,2h 7m,7.3 (443K)
1718285108-60,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Bad Boys,1995,1h 59m,6.8 (290K)
1718285108-61,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Unfrosted,2024,1h 37m,5.5 (26K)
1718285108-62,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Twisters,2024,2h 2m,5.5 (26K)
1718285108-63,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Back to Black,2024,2h 2m,6.4 (12K)
1718285108-64,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Shawshank Redemption,1994,2h 22m,9.3 (2.9M)
1718285108-65,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Beetlejuice Beetlejuice,2024,92m,5.5 (26K)
1718285108-66,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Beekeeper,2024,1h 45m,6.4 (102K)
1718285108-67,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,En del av dig,2024,1h 39m,5.8 (1.6K)
1718285108-68,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Megalopolis,2024,2h 18m,6.9 (995)
1718285108-69,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Ghostbusters: Frozen Empire,2024,1h 55m,6.1 (50K)
1718285108-70,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,A Quiet Place: Day One,2024,1h 40m,8.7 (1.8M)
1718285108-71,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Argylle,2024,2h 19m,5.7 (75K)
1718285108-72,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Pearl,2022,1h 43m,7.0 (101K)
1718285108-73,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Once Upon a Time in... Hollywood,2019,2h 41m,7.6 (856K)
1718285108-74,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Gentlemen,2019,1h 53m,7.8 (407K)
1718285108-75,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Godfather,1972,2h 55m,9.2 (2M)
1718285108-76,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Top Gun: Maverick,2022,2h 10m,8.2 (708K)
1718285108-77,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,I Saw the TV Glow,2024,1h 40m,7.0 (4K)
1718285108-78,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,A Million Ways to Die in the West,2014,1h 56m,6.1 (200K)
1718285108-79,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Mr. & Mrs. Mahi,2024,2h 19m,6.1 (12K)
1718285108-80,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Interstellar,2014,2h 49m,8.7 (2.1M)
1718285108-81,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Moana 2,2024,2h, 8.5 (1.5M) 
1718285108-82,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,1917,2019,1h 59m,8.2 (682K)
1718285108-83,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Immaculate,2024,1h 29m,5.8 (28K)
1718285108-84,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Mean Girls,2024,1h 52m,5.6 (29K)
1718285108-85,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Culpa mía,2023,1h 57m,6.2 (25K)
1718285108-86,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Dead Don't Hurt,2023,2h 9m,6.8 (1.5K)
1718285108-87,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Barbie,2023,1h 54m,6.8 (548K)
1718285108-88,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,A Simple Favor,2018,1h 57m,6.8 (166K)
1718285108-89,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,War for the Planet of the Apes,2017,2h 20m,7.4 (297K)
1718285108-90,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Ezra,2023,1h 41m,6.5 (1.2K)
1718285108-91,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Monkey Man,2024,2h 1m,6.9 (50K)
1718285108-92,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,American Graffiti,1973,1h 50m,7.4 (99K)
1718285108-93,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Longlegs,2024,1h 41m, 8.2 (700K)
1718285108-94,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Pulp Fiction,1994,2h 34m,8.9 (2.2M)
1718285108-95,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Miller's Girl,2024,1h 33m,5.2 (13K)
1718285108-96,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Zone of Interest,2023,1h 45m,7.4 (95K)
1718285108-97,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Laapataa Ladies,2023,2h 2m,8.5 (31K)
1718285108-98,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,The Omen,1976,1h 51m,7.5 (134K)
1718285108-99,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,Crew,2024,1h 58m,5.9 (32K)
1718285108-100,https://www.imdb.com/chart/moviemeter/?ref_=watch_tpks_chtmvm,American Fiction,2023,1h 57m,7.5 (87K)
